# Nine Letters-puzzle list
# Format: word-clue
# - word must be exactly 9 letters
# - the centre letter is chosen randomly each time the puzzle is played
# - clue is a short hint describing the 9-letter word

scrambler|Mixes letters beyond recognition
EVERYBODY|All people
EXCELLENT|Very high quality
EXPANDING|Growing larger
EXPENSIVE|Costing a lot
EXPLORING|Investigating
FAVOURITE|Preferred choice
FEDERATED|United in a group
FIREPLACE|Indoor hearth
FISHERMAN|Person who catches fish
FLOODGATE|Water‑control barrier
FOOTSTEPS|Sounds of walking
FORGOTTEN|Not remembered
FRAMEWORK|Structural support
FRONTLINE|Most exposed position
FURNITURE|Household furnishings
GARDENING|Growing plants
GENTLEMAN|Polite man
GOVERNORS|State leaders
GUIDELINE|Recommended rule
HAMBURGER|Beef sandwich
HANDSHAKE|Greeting gesture
HAPPINESS|State of joy
HEADLIGHT|Front vehicle lamp
HERITAGES|Cultural backgrounds
HISTORIAN|Expert on history
HOMEOWNER|Person who owns a house
HONEYCOMB|Wax structure of bees
HOUSEHOLD|People living together
IMPORTANT|Of great significance
INCLUDING|Containing as part
INCREASED|Made larger
INVISIBLE|Unable to be seen
JELLYFISH|Stinging sea creature
KANGAROOS|Australian marsupials
KNOWLEDGE|Understanding or information
LANDSCAPE|Outdoor scenery
LAUGHTER|Sound of amusement
LAWNMOWER|Grass‑cutting machine
LITTERING|Dropping rubbish
MAINFRAME|Large central computer
MAINTAINS|Keeps in good condition
MEASURING|Determining size
MIGRATION|Movement from place to place
MOONLIGHT|Light from the moon
MOUNTAINS|High landforms
MULTITUDE|Large number
NARRATIVE|Story or account
NATIONALS|Citizens of a country
NEWSPAPER|Printed daily news
NIGHTLIFE|Evening entertainment
NOTEBOOKS|Writing pads
NUTRITION|Food nourishment
OCCUPANTS|People inside a place
OFFENSIVE|Insulting or attacking
OPERATING|Functioning or running
ORGANISED|Arranged neatly
PACKAGING|Wrapping materials
PAINTINGS|Artwork on canvas
PASSENGER|Person being transported
PINEAPPLE|Tropical fruit
POLLUTION|Environmental contamination
POLITICAL|Relating to government
POSITIONS|Locations or roles
POSTCARDS|Mailed travel cards
PRACTICAL|Useful and realistic
PRECISELY|Exactly
PREFERRED|Favoured choice
PRESCHOOL|Early‑learning centre
PRINTOUTS|Printed pages
PROBATION|Trial period
PROCEDURE|Official process
PROCESSOR|Computing unit
PROFESSOR|University teacher
PROJECTOR|Image‑casting device
PROMOTION|Career advancement
PROTECTED|Kept safe
RAINSTORM|Heavy rain
READINESS|Prepared state
REASONING|Logical thinking
RECTANGLE|Four‑sided shape
RECYCLING|Reusing materials
REFLECTED|Mirrored back
REGARDING|Concerning
REGULATOR|Control device
RELATIONS|Social connections
RELIABLES|Dependable people
REPORTING|Giving information
RESIDENTS|People who live somewhere
RESOURCES|Available supplies
SANDPAPER|Abrasive sheet
SCARECROW|Field guardian
SCHEDULED|Planned in advance
SCIENTIST|Research professional
SEAPLANES|Aircraft that land on water
SECRETARY|Administrative assistant
SIDEWALKS|Footpaths
SOMETHING|Unspecified thing
SPACESHIP|Spacecraft
STARGAZER|Star observer
STATEMENT|Formal declaration
STRENGTHS|Strong qualities
STRUCTURE|Arrangement of parts
SUBMARINE|Underwater vessel
SUNFLOWER|Tall yellow plant
SUPPORTER|Advocate or fan
SURRENDER|Give up
TELEPHONE|Voice‑calling device
TELESCOPE|Distant‑viewing instrument
TEMPORARY|Not permanent
TERRORISM|Politically motivated violence
TEXTBOOKS|School manuals
THRESHOLD|Entry point
TOLERANCE|Acceptance of differences
TOURISTIC|Related to tourism
TRADITION|Long‑held custom
TREASURER|Financial officer
UNIVERSAL|Applying to all
VACATIONS|Holiday periods
VEGETABLE|Edible plant
WAREHOUSE|Storage building
WATERFALL|Cascading water
WINDSWEPT|Exposed to strong winds
WONDERFUL|Extremely good
WORKPLACE|Job location
WORKSHOPS|Training sessions
WRESTLING|Grappling sport
